TestNo, BLOCK_X, BLOCK_Y, Score_1, Score_2, Score_3, Score_Overall
1, 32, 2, 8.98541998863, 8.99301505089, 9.78470993042, 8.98541998863
2, 64, 2, 9.81590294838, 9.84374117851, 9.85856199265, 9.81590294838
3, 128, 2, 8.09569907188, 9.49392795563, 9.75308895111, 8.09569907188
4, 32, 4, 6.69743394852, 9.56936693192, 9.63162899017, 6.69743394852
5, 64, 4, 7.28998184204, 8.45071101189, 9.6081161499, 7.28998184204
6, 128, 4, 10.033272028, 10.3622369766, 10.6511600018, 10.033272028
7, 32, 6, 7.47861003876, 8.76150798798, 9.70002102852, 7.47861003876
8, 64, 6, 7.64705705643, 7.680300951, 9.61640405655, 7.64705705643
9, 128, 6, 6.96617293358, 8.99450707436, 10.127120018, 6.96617293358
