TestNo, X, Y, Z, Score_1, Score_Overall
1, 1, 4, 16, 21.0, 21.0
2, 2, 4, 16, 22.0, 22.0
3, 3, 4, 16, 23.0, 23.0
4, 1, 5, 16, 22.0, 22.0
5, 2, 5, 16, 23.0, 23.0
6, 3, 5, 16, 24.0, 24.0
7, 1, 6, 16, 23.0, 23.0
8, 2, 6, 16, 24.0, 24.0
9, 3, 6, 16, 25.0, 25.0
10, 1, 4, 8, 13.0, 13.0
11, 2, 4, 8, 14.0, 14.0
12, 3, 4, 8, 15.0, 15.0
13, 1, 5, 8, 14.0, 14.0
14, 2, 5, 8, 15.0, 15.0
15, 3, 5, 8, 16.0, 16.0
16, 1, 6, 8, 15.0, 15.0
17, 2, 6, 8, 16.0, 16.0
18, 3, 6, 8, 17.0, 17.0
19, 1, 4, 2, 7.0, 7.0
20, 2, 4, 2, 8.0, 8.0
21, 3, 4, 2, 9.0, 9.0
22, 1, 5, 2, 8.0, 8.0
23, 2, 5, 2, 9.0, 9.0
24, 3, 5, 2, 10.0, 10.0
25, 1, 6, 2, 9.0, 9.0
26, 2, 6, 2, 10.0, 10.0
27, 3, 6, 2, 11.0, 11.0
